time,o,h,l,c,volume
2020-01-28T11:28:00.000000000Z,1.10142,1.1015,1.10142,1.10148,29
2020-01-28T11:29:00.000000000Z,1.1014700000000002,1.10148,1.1014,1.10142,39
2020-01-28T11:30:00.000000000Z,1.10142,1.10146,1.10141,1.10142,43
2020-01-28T11:31:00.000000000Z,1.10141,1.10146,1.1014,1.10144,54
2020-01-28T11:32:00.000000000Z,1.10144,1.10148,1.10142,1.10148,31
2020-01-28T11:33:00.000000000Z,1.1014899999999999,1.10156,1.1014899999999999,1.10154,10
2020-01-28T11:34:00.000000000Z,1.10152,1.10156,1.10152,1.10153,11
2020-01-28T11:35:00.000000000Z,1.10154,1.10159,1.1015,1.10159,37
2020-01-28T11:36:00.000000000Z,1.1016,1.1016,1.10158,1.10158,10
2020-01-28T11:37:00.000000000Z,1.10158,1.1016,1.10148,1.1015,32
2020-01-28T11:38:00.000000000Z,1.10152,1.10154,1.10148,1.10148,27
2020-01-28T11:39:00.000000000Z,1.1015,1.10159,1.10148,1.10159,20
2020-01-28T11:40:00.000000000Z,1.1016,1.1016,1.10152,1.10154,17
2020-01-28T11:41:00.000000000Z,1.10152,1.10152,1.10132,1.10138,44
2020-01-28T11:42:00.000000000Z,1.10138,1.1014,1.10122,1.1012600000000001,68
2020-01-28T11:43:00.000000000Z,1.10127,1.1013600000000001,1.10124,1.1013600000000001,43
2020-01-28T11:44:00.000000000Z,1.10134,1.1013899999999999,1.10132,1.1013899999999999,25
2020-01-28T11:45:00.000000000Z,1.10138,1.1013899999999999,1.10132,1.10138,12
2020-01-28T11:46:00.000000000Z,1.1013700000000002,1.10138,1.1012600000000001,1.10132,26
2020-01-28T11:47:00.000000000Z,1.10131,1.10132,1.10112,1.10112,65
2020-01-28T11:48:00.000000000Z,1.10112,1.10127,1.10112,1.10123,36
2020-01-28T11:49:00.000000000Z,1.10122,1.1012600000000001,1.10122,1.10122,23
2020-01-28T11:50:00.000000000Z,1.10121,1.10121,1.10105,1.10105,85
2020-01-28T11:51:00.000000000Z,1.10106,1.1011,1.10102,1.10104,40
2020-01-28T11:52:00.000000000Z,1.10103,1.10103,1.10074,1.10077,97
2020-01-28T11:53:00.000000000Z,1.10076,1.10089,1.10076,1.10084,60
2020-01-28T11:54:00.000000000Z,1.10086,1.1009,1.1008,1.1008,32
2020-01-28T11:55:00.000000000Z,1.1008200000000001,1.1008200000000001,1.10076,1.10076,50
2020-01-28T11:56:00.000000000Z,1.10074,1.10085,1.10074,1.10085,36
2020-01-28T11:57:00.000000000Z,1.10084,1.1009200000000001,1.10084,1.1009200000000001,31
2020-01-28T11:58:00.000000000Z,1.1009200000000001,1.10112,1.1009200000000001,1.10112,74
2020-01-28T11:59:00.000000000Z,1.10114,1.1012,1.10106,1.10106,53
2020-01-28T12:00:00.000000000Z,1.10107,1.1010799999999998,1.1009200000000001,1.10095,56
2020-01-28T12:01:00.000000000Z,1.10096,1.10104,1.1009,1.10101,53
2020-01-28T12:02:00.000000000Z,1.10102,1.10102,1.1009799999999998,1.101,11
2020-01-28T12:03:00.000000000Z,1.1009799999999998,1.101,1.1008,1.10084,46
2020-01-28T12:04:00.000000000Z,1.1008200000000001,1.10106,1.1008200000000001,1.10104,62
