time,o,h,l,c,volume
2020-01-30T20:21:56.505822190Z,1.103285,1.103285,1.10324,1.10324,
2020-01-30T20:22:01.633293486Z,1.10324,1.10325,1.10324,1.10325,
2020-01-30T20:22:04.294118319Z,1.10325,1.10325,1.10325,1.10325,
2020-01-30T20:22:11.410851770Z,1.103235,1.103235,1.10322,1.10322,
2020-01-30T20:22:16.966791650Z,1.103205,1.103205,1.103195,1.103205,
2020-01-30T20:22:28.059541381Z,1.103205,1.103205,1.103195,1.103195,
2020-01-30T20:22:32.820952543Z,1.103195,1.103195,1.10319,1.10319,
2020-01-30T20:22:40.694553775Z,1.1032,1.1032,1.1032,1.1032,
2020-01-30T20:22:48.796151168Z,1.1032,1.10321,1.1032,1.10321,
2020-01-30T20:22:53.928777777Z,1.10321,1.10321,1.1032,1.1032,
2020-01-30T20:23:02.135496685Z,1.10326,1.10326,1.10325,1.10326,
2020-01-30T20:23:07.260182498Z,1.10326,1.10326,1.10326,1.10326,
2020-01-30T20:23:11.124230415Z,1.10326,1.10326,1.10326,1.10326,
2020-01-30T20:23:29.335563791Z,1.103275,1.103295,1.103275,1.103295,
2020-01-30T20:23:36.490709405Z,1.103305,1.103305,1.103305,1.103305,
2020-01-30T20:23:42.634113709Z,1.10329,1.10329,1.10329,1.10329,
2020-01-30T20:23:48.156928970Z,1.10329,1.10329,1.10327,1.10327,
2020-01-30T20:23:54.267153427Z,1.103245,1.103245,1.103245,1.103245,
2020-01-30T20:24:00.127371428Z,1.10325,1.103285,1.10325,1.103285,
2020-01-30T20:24:06.262468628Z,1.103295,1.103295,1.10327,1.10327,
2020-01-30T20:24:10.632391369Z,1.10327,1.10327,1.103245,1.103245,
2020-01-30T20:24:16.617292699Z,1.103245,1.103255,1.103245,1.103245,
2020-01-30T20:24:21.594787337Z,1.103245,1.103245,1.103245,1.103245,
2020-01-30T20:24:29.577328740Z,1.103245,1.103245,1.103245,1.103245,
2020-01-30T20:24:34.494915933Z,1.103245,1.103245,1.103245,1.103245,
2020-01-30T20:24:39.841099973Z,1.103245,1.10325,1.10322,1.10325,
2020-01-30T20:24:45.090317261Z,1.10325,1.10325,1.10325,1.10325,
2020-01-30T20:24:48.803937994Z,1.10325,1.10328,1.10325,1.10328,
2020-01-30T20:24:56.188533924Z,1.10328,1.10328,1.10328,1.10328,
2020-01-30T20:25:02.275253935Z,1.10328,1.10328,1.10328,1.10328,
2020-01-30T20:25:07.394788445Z,1.10328,1.103285,1.10328,1.103285,
2020-01-30T20:25:11.255586978Z,1.103285,1.103285,1.103285,1.103285,
2020-01-30T20:25:19.345479961Z,1.103295,1.10331,1.103295,1.10331,
2020-01-30T20:25:24.394700159Z,1.10331,1.10331,1.1033,1.1033,
2020-01-30T20:25:29.571041924Z,1.1033,1.1033,1.10329,1.10329,
2020-01-30T20:25:36.733089632Z,1.10329,1.10333,1.10329,1.10333,
2020-01-30T20:25:40.301689841Z,1.10333,1.10335,1.10333,1.10335,
2020-01-30T20:25:48.365643126Z,1.10334,1.10334,1.10334,1.10334,
2020-01-30T20:25:53.310765392Z,1.10334,1.10334,1.10334,1.10334,
2020-01-30T20:25:59.394486335Z,1.10334,1.10334,1.10334,1.10334,
2020-01-30T20:26:07.220628355Z,1.103355,1.103355,1.103335,1.103335,
2020-01-30T20:26:12.898199044Z,1.103335,1.103345,1.10332,1.10332,
2020-01-30T20:26:17.331132600Z,1.10325,1.10325,1.10325,1.10325,
2020-01-30T20:26:25.175270170Z,1.103245,1.103245,1.103225,1.103225,
2020-01-30T20:26:31.239369354Z,1.10323,1.10323,1.10323,1.10323,
2020-01-30T20:26:36.139366766Z,1.10323,1.10323,1.10323,1.10323,
2020-01-30T20:26:42.257471003Z,1.10331,1.10331,1.103295,1.103295,
2020-01-30T20:26:45.368436234Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:26:53.238466975Z,1.103295,1.103295,1.103285,1.103295,
2020-01-30T20:26:58.394161948Z,1.103295,1.103345,1.103295,1.103345,
2020-01-30T20:27:06.144450553Z,1.103345,1.103345,1.10333,1.10333,
2020-01-30T20:27:11.812227935Z,1.10333,1.10333,1.1033,1.1033,
2020-01-30T20:27:17.958836531Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:27:24.052519141Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:27:29.210969047Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:27:34.266864786Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:27:38.463970329Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:27:42.517212768Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:27:50.624127991Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:27:55.778074557Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:28:00.833210596Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:28:05.910283959Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:28:10.496825411Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:28:18.189697090Z,1.103295,1.103295,1.103285,1.103295,
2020-01-30T20:28:23.714468267Z,1.103295,1.103295,1.103285,1.103285,
2020-01-30T20:28:29.908553708Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:28:34.551723794Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:28:41.202117946Z,1.103295,1.103295,1.103285,1.103295,
2020-01-30T20:28:44.408996484Z,1.103295,1.103295,1.103285,1.103285,
2020-01-30T20:28:52.541481954Z,1.103295,1.103295,1.103285,1.103295,
2020-01-30T20:28:57.684418038Z,1.103295,1.103295,1.103295,1.103295,
2020-01-30T20:29:02.770265629Z,1.103295,1.10333,1.103295,1.10333,
2020-01-30T20:29:07.751702459Z,1.10334,1.10334,1.10333,1.10333,
2020-01-30T20:29:10.376420281Z,1.10333,1.10333,1.10333,1.10333,
2020-01-30T20:29:18.051310109Z,1.10333,1.10334,1.10333,1.10334,
2020-01-30T20:29:24.209722295Z,1.10334,1.1034,1.10334,1.10339,
2020-01-30T20:29:29.352028621Z,1.10339,1.10339,1.10338,1.10338,
2020-01-30T20:29:34.031035564Z,1.10338,1.10339,1.10338,1.10339,
2020-01-30T20:29:39.541706696Z,1.10339,1.1034,1.10339,1.1034,
2020-01-30T20:29:45.661551759Z,1.1034,1.103435,1.1034,1.103435,
2020-01-30T20:29:50.675930064Z,1.103435,1.10344,1.103395,1.10344,
2020-01-30T20:29:58.758871384Z,1.103415,1.103425,1.103395,1.103405,
2020-01-30T20:30:03.513154286Z,1.103405,1.10342,1.103385,1.103385,
2020-01-30T20:30:09.513169827Z,1.103385,1.1034,1.103385,1.10339,
2020-01-30T20:30:14.798017962Z,1.10339,1.10339,1.10339,1.10339,
2020-01-30T20:30:21.201027464Z,1.103385,1.103435,1.103385,1.103435,
2020-01-30T20:30:26.679889188Z,1.103395,1.103395,1.103395,1.103395,
2020-01-30T20:30:32.357102382Z,1.103395,1.103395,1.103345,1.103345,
2020-01-30T20:30:37.118504735Z,1.103365,1.103395,1.103365,1.103395,
2020-01-30T20:30:44.280601078Z,1.103385,1.103395,1.103385,1.103395,
2020-01-30T20:30:49.419428660Z,1.103395,1.103405,1.10338,1.103385,
2020-01-30T20:30:53.282897949Z,1.103385,1.1034,1.103385,1.1034,
2020-01-30T20:31:00.393109676Z,1.103405,1.103435,1.103405,1.103435,
2020-01-30T20:31:05.532995822Z,1.103435,1.103445,1.10341,1.103445,
2020-01-30T20:31:07.612782724Z,1.103445,1.103445,1.103445,1.103445,
2020-01-30T20:31:15.392934531Z,1.103445,1.103445,1.103435,1.103435,
2020-01-30T20:31:21.530304398Z,1.103405,1.103405,1.103395,1.103395,
2020-01-30T20:31:26.441143601Z,1.103395,1.103405,1.103395,1.103395,
2020-01-30T20:31:31.704756835Z,1.103395,1.103405,1.103395,1.103405,
2020-01-30T20:31:36.840361105Z,1.103405,1.103405,1.103395,1.103395,
2020-01-30T20:31:47.981999237Z,1.103395,1.103405,1.103395,1.103405,
2020-01-30T20:31:53.049236512Z,1.103395,1.103395,1.103395,1.103395,
2020-01-30T20:31:57.690695696Z,1.103395,1.103395,1.103395,1.103395,
2020-01-30T20:32:06.125648157Z,1.10339,1.10339,1.10339,1.10339,
2020-01-30T20:32:17.103907567Z,1.103395,1.103405,1.103395,1.103405,
2020-01-30T20:32:21.532674173Z,1.103405,1.103405,1.103395,1.103395,
2020-01-30T20:32:27.552994730Z,1.103395,1.103395,1.10338,1.10338,
2020-01-30T20:32:32.103367676Z,1.10338,1.10339,1.10338,1.10339,
2020-01-30T20:32:37.252791926Z,1.10339,1.10339,1.103385,1.103385,
2020-01-30T20:32:45.952033412Z,1.103375,1.103375,1.103375,1.103375,
2020-01-30T20:32:52.057159110Z,1.103375,1.103405,1.103375,1.103405,
2020-01-30T20:32:56.645677207Z,1.103405,1.103405,1.103405,1.103405,
2020-01-30T20:33:02.632869570Z,1.103405,1.103405,1.103405,1.103405,
2020-01-30T20:33:08.682136020Z,1.103405,1.103405,1.103405,1.103405,
2020-01-30T20:33:13.534558823Z,1.103405,1.103425,1.103405,1.103425,
2020-01-30T20:33:24.512086775Z,1.10346,1.10346,1.10345,1.10345,
2020-01-30T20:33:32.633122097Z,1.103495,1.103505,1.103495,1.103505,
2020-01-30T20:33:37.965577968Z,1.103505,1.103505,1.103505,1.103505,
2020-01-30T20:33:43.807943763Z,1.103505,1.103505,1.103505,1.103505,
2020-01-30T20:33:47.960368664Z,1.103505,1.103505,1.103505,1.103505,
2020-01-30T20:33:55.958271344Z,1.103505,1.103505,1.103505,1.103505,
2020-01-30T20:34:02.046194782Z,1.103505,1.103505,1.103505,1.103505,
2020-01-30T20:34:06.304186905Z,1.103505,1.103505,1.103505,1.103505,
2020-01-30T20:34:11.342008348Z,1.103505,1.103505,1.103485,1.103485,
2020-01-30T20:34:19.416347434Z,1.103485,1.103495,1.103455,1.103455,
2020-01-30T20:34:25.464251910Z,1.103455,1.103455,1.103455,1.103455,
2020-01-30T20:34:32.573376040Z,1.103455,1.103455,1.103455,1.103455,
2020-01-30T20:34:36.745436181Z,1.10345,1.10345,1.10344,1.10345,
2020-01-30T20:34:42.795845128Z,1.10345,1.10345,1.10344,1.10344,
2020-01-30T20:34:47.091527693Z,1.10345,1.10345,1.10345,1.10345,
2020-01-30T20:34:52.645759649Z,1.10344,1.10349,1.10343,1.10349,
