date,o,h,l,c
2020-01-10 14:10:00,1.1097199999999998,1.1097549999999998,1.1095899999999999,1.1096849999999998
2020-01-10 14:11:00,1.1096949999999999,1.1096949999999999,1.1094650000000001,1.109475
2020-01-10 14:12:00,1.109475,1.1094849999999998,1.109245,1.1092499999999998
2020-01-10 14:13:00,1.109335,1.109405,1.109185,1.1093899999999999
2020-01-10 14:14:00,1.10944,1.10948,1.109345,1.10947
2020-01-10 14:15:00,1.1094650000000001,1.1094650000000001,1.1093099999999998,1.10933
2020-01-10 14:16:00,1.1093950000000001,1.10945,1.1092,1.1092
2020-01-10 14:17:00,1.1092300000000002,1.1092650000000002,1.10913,1.1091950000000002
2020-01-10 14:18:00,1.1091950000000002,1.109205,1.108625,1.108745
2020-01-10 14:19:00,1.10885,1.108965,1.108735,1.10887
2020-01-10 14:20:00,1.10899,1.109105,1.10886,1.109105
2020-01-10 14:21:00,1.1091700000000002,1.1092300000000002,1.10906,1.10921
2020-01-10 14:22:00,1.10929,1.10937,1.109205,1.10933
2020-01-10 14:23:00,1.109415,1.1095000000000002,1.10927,1.109455
2020-01-10 14:24:00,1.1094650000000001,1.1094849999999998,1.1093099999999998,1.1094400000000002
2020-01-10 14:25:00,1.10956,1.10967,1.109445,1.10962
2020-01-10 14:26:00,1.10967,1.109715,1.1094849999999998,1.1097000000000001
2020-01-10 14:27:00,1.109765,1.1098249999999998,1.1096750000000002,1.10982
2020-01-10 14:28:00,1.109845,1.1098750000000002,1.10971,1.10978
2020-01-10 14:29:00,1.109785,1.10979,1.109525,1.109635
2020-01-10 14:30:00,1.10965,1.1096650000000001,1.109445,1.109575
2020-01-10 14:31:00,1.10961,1.1096400000000002,1.109405,1.109555
2020-01-10 14:32:00,1.10965,1.10975,1.10955,1.10974
2020-01-10 14:33:00,1.10975,1.1097700000000001,1.109655,1.1097549999999998
2020-01-10 14:34:00,1.1097899999999998,1.10983,1.1096300000000001,1.1097700000000001
2020-01-10 14:35:00,1.109785,1.109815,1.109625,1.10978
2020-01-10 14:36:00,1.1098400000000002,1.10989,1.1097700000000001,1.109855
2020-01-10 14:37:00,1.109905,1.109955,1.10982,1.10989
2020-01-10 14:38:00,1.10992,1.109955,1.109815,1.109955
2020-01-10 14:39:00,1.11001,1.1100750000000001,1.10989,1.1099450000000002
2020-01-10 14:40:00,1.10995,1.10995,1.1098249999999998,1.109885
2020-01-10 14:41:00,1.109885,1.10989,1.1095799999999998,1.109585
2020-01-10 14:42:00,1.10968,1.1097700000000001,1.109545,1.10975
2020-01-10 14:43:00,1.10981,1.109865,1.10974,1.109865
2020-01-10 14:44:00,1.109905,1.109955,1.10981,1.10994
2020-01-10 14:45:00,1.10998,1.11002,1.1098750000000002,1.109915
2020-01-10 14:46:00,1.10995,1.10999,1.10989,1.10994
2020-01-10 14:47:00,1.10995,1.109955,1.10962,1.109625
2020-01-10 14:48:00,1.1096300000000001,1.1096499999999998,1.10951,1.109515
2020-01-10 14:49:00,1.109515,1.109515,1.10926,1.10945
2020-01-10 14:50:00,1.109495,1.10954,1.109445,1.1095350000000002
2020-01-10 14:51:00,1.1095350000000002,1.1095350000000002,1.10945,1.10946
2020-01-10 14:52:00,1.1095000000000002,1.109545,1.1094149999999998,1.10949
2020-01-10 14:53:00,1.109525,1.10955,1.109375,1.10938
2020-01-10 14:54:00,1.10947,1.109555,1.1093199999999999,1.109555
2020-01-10 14:55:00,1.109615,1.10968,1.109555,1.10967
2020-01-10 14:56:00,1.109725,1.10979,1.1096599999999999,1.10976
2020-01-10 14:57:00,1.10987,1.109975,1.1097700000000001,1.109975
2020-01-10 14:58:00,1.1099649999999999,1.1099649999999999,1.1098599999999998,1.10994
2020-01-10 14:59:00,1.11015,1.110355,1.10992,1.11008
2020-01-10 15:00:00,1.110145,1.110225,1.10996,1.11016
2020-01-10 15:01:00,1.110165,1.110165,1.10983,1.110015
2020-01-10 15:02:00,1.110115,1.11022,1.109995,1.11001
2020-01-10 15:03:00,1.110015,1.11002,1.10992,1.109955
2020-01-10 15:04:00,1.110025,1.1101,1.1099450000000002,1.1100249999999998
2020-01-10 15:05:00,1.1100349999999999,1.11005,1.109885,1.1100400000000001
2020-01-10 15:06:00,1.11007,1.110105,1.109995,1.1100949999999998
2020-01-10 15:07:00,1.11018,1.11026,1.110085,1.110255
2020-01-10 15:08:00,1.110445,1.11063,1.110225,1.11062
2020-01-10 15:09:00,1.1107049999999998,1.11079,1.11056,1.11066
2020-01-10 15:10:00,1.11076,1.11086,1.1106500000000001,1.11084
2020-01-10 15:11:00,1.110855,1.11087,1.11073,1.110745
2020-01-10 15:12:00,1.11082,1.1109049999999998,1.1107049999999998,1.11086
2020-01-10 15:13:00,1.110895,1.110935,1.11084,1.110875
2020-01-10 15:14:00,1.110875,1.110875,1.110605,1.11067
2020-01-10 15:15:00,1.110735,1.110805,1.11056,1.11059
2020-01-10 15:16:00,1.110605,1.11062,1.110525,1.110595
2020-01-10 15:17:00,1.1106099999999999,1.11062,1.110445,1.110465
2020-01-10 15:18:00,1.1106699999999998,1.110865,1.110465,1.110815
2020-01-10 15:19:00,1.110935,1.11104,1.110785,1.11097
2020-01-10 15:20:00,1.11096,1.11096,1.1107399999999998,1.1108250000000002
2020-01-10 15:21:00,1.110925,1.11101,1.110815,1.11094
2020-01-10 15:22:00,1.111055,1.111175,1.110845,1.111115
2020-01-10 15:23:00,1.111115,1.111115,1.1108950000000002,1.1109049999999998
2020-01-10 15:24:00,1.1109049999999998,1.1109149999999999,1.1108250000000002,1.1109049999999998
2020-01-10 15:25:00,1.110985,1.1110600000000002,1.1109,1.11101
2020-01-10 15:26:00,1.111055,1.111105,1.111005,1.111105
2020-01-10 15:27:00,1.11112,1.1111399999999998,1.11103,1.11104
2020-01-10 15:28:00,1.11104,1.11105,1.11097,1.11098
2020-01-10 15:29:00,1.1109900000000001,1.1109900000000001,1.11082,1.11084
2020-01-10 15:30:00,1.1109300000000002,1.111015,1.110835,1.1109550000000001
2020-01-10 15:31:00,1.11098,1.111005,1.1108799999999999,1.11089
2020-01-10 15:32:00,1.11093,1.1109749999999998,1.11079,1.1109749999999998
2020-01-10 15:33:00,1.111055,1.11112,1.110865,1.11089
2020-01-10 15:34:00,1.11089,1.11091,1.110765,1.110785
2020-01-10 15:35:00,1.11084,1.11089,1.110765,1.1108799999999999
